Name,Number,Party Affiliation,Elections,Served from:,Served until:,Vice President,Age,Image Filename,Notable Achievements
George Washington,1,Unaffiliated,"1788, 1792","April 30, 1789","March 4, 1797",John Adams,57,01-george-washington.jpg,"'- First president and left the position willingly after 2 terms
- Pro-slavery, passed the Fugitive Slave Act (""which overrode state laws and courts, allowing agents to cross state lines to capture and return escaped slaves"" - Wikipedia).
- Economic issues dominated presidency, establishment of the First Bank of the United States
- Dealt with terrible feud between Thomas Jefferson and Alexander Hamilton; the former wanted a loose association of states and farms, the latter wanted a strong federal government
- Whiskey Rebellion, in which grain growers fiercely opposed high excise tax; came to violence on the part of the state and the farmers
- Had to govern via the Articles of Confederation, which would later be replaced by the Constitution"
John Adams,2,Federalist,1796,"March 4, 1797","March 4, 1801",Thomas Jefferson,61,02-john-adams.jpg,"'- Only president to be elected on the Federalist ticket
- Passed Alien and Sedition Acts; built up military (quasi-war with France after the XYZ affair)
- Fries' Rebellion against an unpopular direct tax that had been levied to pay for military buildup
- Ran for reelection in 1800 but lost to Thomas Jefferson"
Thomas Jefferson,3,Democratic-Republican,"1800, 1804","March 4, 1801","March 4, 1809","Aaron Burr, George Clinton",57,03-thomas-jefferson.jpg,"- First Barbary War: pirates were capturing US merchants, authorized use of Navy against them; first foreign war the US fought
- Completed the Louisiana Purchase, which doubled the land of the country
- Commissioned the Lewis and Clark expedition
- Adopted expansionist policies for land against the Indigenous peoples that lived on it"
James Madison,4,Democratic-Republican,"1808, 1812","March 4, 1809","March 4, 1817","George Clinton, Vacant, Elbridge Gerry, Vacant",57,04-james-madison.jpg,"- Dealt with the War of 1812, a result of British interference with American merchant ships
- Created Second Bank of the US; enacted a protective tariff in 1816
- Expansionist policies: added 23 million acres of Indigenous land to the United States"
James Monroe,5,Democratic-Republican,"1816, 1820","March 4, 1817","March 4, 1825",Daniel D. Tompkins,58,05-james-monroe.jpg,"'- Presided over the Era of Good Feelings, ""a period in the political history of the United States that reflected a sense of national purpose and a desire for unity among Americans in the aftermath of the War of 1812."" (Wikipedia)
- Signed Missouri Compromise, which let in Missouri as a slave state, and outlawed slavery from any territory north of the 36°30' parallel
- Established the ""Monroe Doctrine"", which opposed European colonialism in the Americas, and agreed to separate spheres of influence with respect to Europe
- Added Florida, previously owned by the Spanish
- States admitted during presidency: Mississippi, Illinois, Alabama, Maine, Missouri"
John Quincy Adams,6,"Democratic-Republican,National Republican",1824,"March 4, 1825","March 4, 1829",John C. Calhoun,57,06-john-quincy-adams.jpg,"'- Son of John Adams
- Wanted to do things like establish a national university and create a naval academy, as well as create a national observatory, but Congress voted against most of his initiatives
- Infrastructure projects, however, were funded: many canals were started during his term, and the first passenger railroad in the United States was laid down.
- Supported westward expansion (which, in the hands of the settlers, could not be stopped if he tried), but more sympathetic to the blight of Indigenous peoples than almost any politician (a purely *relative* assessment if there ever were one); wanted to assimilate Natives"
Andrew Jackson,7,Democratic,"1828, 1832","March 4, 1829","March 4, 1837","John C. Calhoun, Vacant, Martin Van Buren",61,07-andrew-jackson.jpg,"'- Only president to completely pay off the national debt
- Dismantled the National Bank
- ""Spoils system"" (bluntly: nepotism) grew during his term
- Presided over massive removal of Indigenous peoples from their lands, commonly known as the ""Trail of Tears""
- Opposed abolition of slavery"
Martin Van Buren,8,Democratic,1836,"March 4, 1837","March 4, 1841",Richard Mentor Johnson,54,08-martin-van-buren.jpg,"'- Only president whose first language was not English (it was Dutch)
- Panic of 1837, a massive financial crisis and subsequent economic depression, occurred during his term; conditions would not recover until the mid-1840s
- Established an independent US Treasury, which, after being abolished in 1841 and revived in 1846, would last until the implementation of the Federal Reserve Act of 1913
- Oversaw continuation of Trail of Tears, particularly with regard to the Cherokee people, 20,000 of whom were involuntarily relocated during this time"
William Henry Harrison,9,Whig,1840,"March 4, 1841","April 4, 1841",John Tyler,68,09-william-henry-harrison.jpg,"- Served only 31 days in office, the shortest term for any US president to date
- Only accomplishment was calling a special session of Congress"
John Tyler,10,"Whig,Unaffiliated",None,"April 4, 1841","March 4, 1845",Vacant,51,10-john-tyler.jpg,"- Never elected; inherited position after William Henry Harrison died
- Slaveholder, anti-abolitionist
- Expansionist, fan of manifest destiny
- "
James K. Polk,11,Democratic,1844,"March 4, 1845","March 23, 1849",George M. Dallas,49,11-james-k-polk.jpg,"'- Notable for achieving all major domestic and foreign policy goals
- Provoked war with Mexico (1846-48) for additional territory in the west; obtained the American Southwest as a result
- Oversaw expansion of territory all the way to the Pacific Coast
- Lowered tariffs and re-established the Independent Treasury system
- Annexed Texas, which was admitted as the 28th state
- Created the Department of the Interior"
Zachary Taylor,12,Whig,1848,"March 4, 1849","July 9, 1850",Millard Fillmore,64,12-zachary-taylor.jpg,"- Died while in office after roughly a year
- Had little interest in politics; very little was accomplished during his term
- Primary goal was to keep the union together despite the increasingly polarized issue of slavery"
Millard Fillmore,13,Whig,None,"July 9, 1850","March 4, 1853",Vacant,50,13-millard-fillmore.jpg,"- Signed the Compromise of 1850 into law, which compromised over slavery in new territories, added a stricter Fugitive Slave Law, and banned the slave trade in Washington, D.C.
- Signed the construction of several railroads
- Commissioned the Perry Expedition, intended to ""open up"" Japan to foreign relations and trading"
